순위,종목명,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
1,삼성전자,"183,500","하락 5,500",-2.91%,"8,826,652","1,628,181","10,862,536"
2,SK하이닉스,"959,000","하락 36,000",-3.62%,"1,159,575","1,116,712","6,834,816"
3,현대차,"495,000","하락 6,000",-1.20%,"231,254","114,475","1,013,551"
4,LG에너지솔루션,"388,000","하락 6,000",-1.52%,"61,449","23,981","907,920"
5,SK스퀘어,"575,000","하락 30,000",-4.96%,"150,737","87,648","759,501"
6,삼성바이오로직스,"1,593,000","상승 8,000",+0.50%,"6,936","11,113","737,415"
7,한화에어로스페이스,"1,407,000","상승 7,000",+0.50%,"45,511","64,099","725,497"
8,두산에너빌리티,"102,300",하락 300,-0.29%,"674,941","69,229","655,294"
9,기아,"156,600","하락 1,300",-0.82%,"230,663","35,940","611,387"
10,KB금융,"152,000","상승 2,600",+1.74%,"258,976","39,157","566,733"
11,HD현대중공업,"523,000",보합0,0.00%,"48,645","25,432","548,947"
12,삼성물산,"285,500","하락 3,500",-1.21%,"78,485","22,581","485,283"
13,셀트리온,"205,000","상승 1,500",+0.74%,"118,782","24,419","473,649"
14,삼성생명,"225,000","하락 2,500",-1.10%,"42,281","9,572","450,000"
15,신한지주,"93,700","상승 1,600",+1.74%,"202,853","18,914","444,751"
16,한화오션,"128,300","상승 3,600",+2.89%,"393,818","50,627","393,128"
17,미래에셋증권,"67,900",상승 600,+0.89%,"1,558,542","105,617","377,060"
18,현대모비스,"399,000","하락 3,000",-0.75%,"46,348","18,445","362,023"
19,HD현대일렉트릭,"982,000","하락 10,000",-1.01%,"24,532","24,288","353,983"
20,삼성전기,"459,000","상승 4,500",+0.99%,"178,305","81,858","342,844"
21,NAVER,"216,000",상승 500,+0.23%,"91,118","19,675","338,802"
22,삼성SDI,"407,000","상승 3,000",+0.74%,"143,757","58,593","327,983"
23,고려아연,"1,569,000","하락 24,000",-1.51%,"3,164","4,979","327,497"
24,하나금융지주,"109,100",상승 400,+0.37%,"161,534","17,622","303,653"
25,한국전력,"46,150",하락 300,-0.65%,"436,371","20,104","296,266"
26,POSCO홀딩스,"348,500","상승 6,500",+1.90%,"90,597","31,497","282,051"
27,한미반도체,"293,000","하락 7,000",-2.33%,"130,178","38,265","279,265"
28,효성중공업,"2,922,000","하락 68,000",-2.27%,"13,190","39,381","272,463"
29,HD한국조선해양,"381,500","하락 3,500",-0.91%,"48,077","18,507","269,999"
30,한화시스템,"135,100","하락 1,500",-1.10%,"337,656","45,636","255,230"
31,LS ELECTRIC,"847,000","상승 3,000",+0.36%,"22,014","18,730","254,100"
32,SK,"349,500","상승 3,500",+1.01%,"32,809","11,418","253,397"
33,우리금융지주,"33,050",상승 50,+0.15%,"188,144","6,212","242,612"
34,삼성중공업,"27,000",상승 150,+0.56%,"918,491","24,966","237,600"
35,LG화학,"320,000","상승 2,000",+0.63%,"50,053","16,054","225,895"
36,카카오,"49,350",상승 300,+0.61%,"264,826","13,052","218,505"
37,HD현대,"270,500","상승 5,500",+2.08%,"27,996","7,525","213,676"
38,삼성화재,"464,000","하락 26,000",-5.31%,"27,878","13,039","213,492"
39,현대로템,"190,900",상승 200,+0.10%,"212,816","40,729","208,353"
40,두산,"1,244,000","하락 6,000",-0.48%,"13,303","16,604","201,451"
41,메리츠금융지주,"115,400","상승 4,000",+3.59%,"61,851","7,057","195,027"
42,SK이노베이션,"112,000","하락 2,100",-1.84%,"65,697","7,392","189,339"
43,HMM,"19,900",하락 30,-0.15%,"403,579","8,053","187,704"
44,기업은행,"23,500",상승 100,+0.43%,"143,014","3,355","187,395"
45,LG전자,"114,300",하락 400,-0.35%,"111,908","12,773","186,179"
46,포스코퓨처엠,"208,500","상승 6,000",+2.96%,"107,699","22,327","185,453"
47,한국항공우주,"187,900","상승 2,900",+1.57%,"251,852","47,297","183,156"
48,KT&G,"156,600",상승 700,+0.45%,"37,398","5,881","179,584"
49,SK텔레콤,"80,500",상승 700,+0.88%,"195,948","15,807","172,906"
50,현대글로비스,"230,500","상승 1,000",+0.44%,"19,738","4,527","172,875"
51,현대건설,"154,300","하락 3,600",-2.28%,"221,449","34,483","171,822"
52,LIG넥스원,"738,000","상승 4,000",+0.54%,"158,671","118,796","162,360"
53,KT,"60,700",상승 600,+1.00%,"58,711","3,551","152,977"
54,LG,"88,500",하락 300,-0.34%,"62,982","5,550","136,486"
55,삼성에피스홀딩스,"544,000","상승 4,000",+0.74%,"13,600","7,464","135,364"
56,하이브,"310,500","상승 6,000",+1.97%,"95,593","29,198","133,726"
57,포스코인터내셔널,"75,000",하락 800,-1.06%,"94,656","7,127","131,942"
58,S-Oil,"112,400",하락 900,-0.79%,"61,392","6,908","126,543"
59,DB손해보험,"181,200","하락 13,500",-6.93%,"54,923","10,051","125,724"
60,에이피알,"329,500","상승 1,000",+0.30%,"78,498","25,767","123,359"
61,삼성에스디에스,"159,400",하락 100,-0.06%,"15,663","2,492","123,340"
62,한국금융지주,"221,000",상승 500,+0.23%,"39,780","8,678","123,154"
63,NH투자증권,"34,100",하락 200,-0.58%,"153,736","5,225","121,513"
64,카카오뱅크,"24,600",상승 50,+0.20%,"116,216","2,845","117,353"
65,크래프톤,"244,500","상승 4,000",+1.66%,"29,031","7,089","115,908"
66,키움증권,"432,500",상승 500,+0.12%,"17,409","7,442","113,366"
67,현대오토에버,"399,000","하락 6,500",-1.60%,"17,733","7,077","109,422"
68,대한항공,"25,200",하락 200,-0.79%,"275,742","6,922","92,792"
69,삼양식품,"1,224,000","상승 8,000",+0.66%,"6,607","8,092","92,204"
70,한화,"120,300","상승 3,600",+3.08%,"56,020","6,660","90,175"
71,LS,"286,000","상승 2,500",+0.88%,"36,007","10,316","89,232"
72,삼성증권,"97,700",하락 100,-0.10%,"45,452","4,418","87,246"
73,이수페타시스,"118,500","하락 1,800",-1.50%,"260,711","30,875","86,990"
74,한진칼,"123,300","하락 3,400",-2.68%,"23,468","2,895","82,318"
75,아모레퍼시픽,"138,200","상승 1,400",+1.02%,"22,524","3,090","80,837"
76,HD현대마린솔루션,"179,800","하락 1,600",-0.88%,"11,842","2,142","80,607"
77,유한양행,"100,200","상승 1,300",+1.31%,"69,479","6,980","79,807"
78,한화솔루션,"44,800",하락 200,-0.44%,"812,639","36,902","77,008"
79,SK바이오팜,"96,800",하락 400,-0.41%,"50,090","4,893","75,807"
80,LG이노텍,"310,500","하락 2,500",-0.80%,"69,123","21,808","73,486"
81,카카오페이,"53,600",하락 400,-0.74%,"107,068","5,739","72,480"
82,한국타이어앤테크놀로지,"58,000",하락 100,-0.17%,"53,838","3,120","71,848"
83,한미약품,"554,000","상승 13,000",+2.40%,"22,218","12,190","70,973"
84,LG유플러스,"15,950",상승 350,+2.24%,"139,883","2,203","68,558"
85,대우건설,"16,280",하락 130,-0.79%,"6,708,392","107,452","67,663"
86,GS,"69,100","하락 1,100",-1.57%,"35,183","2,437","64,205"
87,삼성E&A,"32,800",하락 900,-2.67%,"656,344","21,634","64,288"
88,삼성카드,"55,100","하락 1,300",-2.30%,"29,967","1,660","63,838"
89,한전기술,"165,700","하락 3,100",-1.84%,"36,990","6,167","63,331"
90,CJ,"211,000","상승 1,000",+0.48%,"13,336","2,801","61,563"
91,LG씨엔에스,"62,100",하락 400,-0.64%,"102,541","6,382","60,166"
92,엘앤에프,"147,700","상승 2,400",+1.65%,"357,204","51,577","59,555"
93,두산밥캣,"61,700",보합0,0.00%,"47,956","2,952","59,143"
94,LG디스플레이,"11,690",하락 60,-0.51%,"655,961","7,664","58,450"
95,BNK금융지주,"18,650",상승 200,+1.08%,"93,780","1,739","57,876"
96,JB금융지주,"30,350",상승 700,+2.36%,"51,598","1,539","57,135"
97,두산로보틱스,"87,200","하락 1,600",-1.80%,"29,595","2,586","56,523"
98,대한전선,"29,900",하락 400,-1.32%,"612,866","18,550","55,748"
99,산일전기,"174,200","상승 8,400",+5.07%,"323,139","56,594","53,210"
100,오리온,"133,400",하락 700,-0.52%,"18,627","2,474","52,741"
101,코웨이,"73,200",하락 900,-1.21%,"34,832","2,565","51,802"
102,에코프로머티,"71,700","상승 1,300",+1.85%,"622,779","44,308","50,591"
103,엔씨소프트,"225,500","하락 2,000",-0.88%,"22,649","5,164","48,582"
104,포스코DX,"31,400",하락 100,-0.32%,"49,932","1,572","47,739"
105,현대제철,"35,550",하락 150,-0.42%,"109,308","3,880","47,440"
106,KCC,"527,000","하락 6,000",-1.13%,"2,652","1,393","46,832"
107,한화엔진,"51,400","상승 2,650",+5.44%,"548,830","28,530","42,892"
108,넷마블,"52,100",상승 700,+1.36%,"53,168","2,789","42,701"
109,한화생명,"4,880",하락 90,-1.81%,"1,760,695","8,606","42,384"
110,한온시스템,"3,955",하락 100,-2.47%,"2,053,129","8,149","40,589"
111,강원랜드,"18,130",하락 10,-0.06%,"95,717","1,736","38,787"
112,SKC,"101,000","하락 1,100",-1.08%,"24,911","2,516","38,247"
113,LG생활건강,"244,000","하락 2,500",-1.01%,"6,894","1,680","37,338"
114,영원무역,"83,000","상승 1,200",+1.47%,"9,152",749,"36,779"
115,OCI홀딩스,"189,700","상승 6,900",+3.77%,"103,942","20,050","35,417"
116,현대엘리베이터,"87,500",하락 500,-0.57%,"18,551","1,625","34,206"
117,롯데케미칼,"79,800",보합0,0.00%,"35,020","2,795","34,135"
118,SK바이오사이언스,"43,350",상승 550,+1.29%,"17,408",756,"34,001"
119,금호석유화학,"128,500","하락 1,500",-1.15%,"8,555","1,107","33,451"
120,한국가스공사,"36,050",상승 50,+0.14%,"29,845","1,074","33,279"
121,한올바이오파마,"63,600","상승 5,700",+9.84%,"434,077","26,678","33,225"
122,에스원,"87,300",상승 400,+0.46%,"7,839",686,"33,173"
123,CJ제일제당,"219,000",보합0,0.00%,"5,875","1,278","32,969"
124,한솔케미칼,"289,000","상승 6,500",+2.30%,"12,264","3,526","32,860"
125,롯데쇼핑,"115,100","상승 3,800",+3.41%,"31,701","3,615","32,560"
126,신세계,"335,000","하락 2,000",-0.59%,"3,603","1,202","32,311"
127,롯데지주,"30,650",하락 450,-1.45%,"52,747","1,616","32,155"
128,영원무역홀딩스,"223,500","상승 3,000",+1.36%,"2,813",621,"30,171"
129,이수스페셜티케미컬,"94,200","상승 3,200",+3.52%,"135,906","12,806","28,466"
130,에스엘,"60,100",하락 900,-1.48%,"17,860","1,067","27,916"
131,현대해상,"31,100","하락 1,050",-3.27%,"101,382","3,186","27,803"
132,HD현대마린엔진,"81,700","상승 4,200",+5.42%,"315,141","25,904","27,714"
133,한전KPS,"61,500","하락 1,300",-2.07%,"52,571","3,239","27,675"
134,iM금융지주,"17,060",상승 80,+0.47%,"44,793",763,"27,403"
135,동서,"27,100",하락 100,-0.37%,"14,415",389,"27,019"
136,풍산,"96,400","하락 1,800",-1.83%,"54,748","5,290","27,015"
137,이마트,"97,700",하락 800,-0.81%,"42,072","4,105","26,961"
138,팬오션,"5,040",하락 40,-0.79%,"412,541","2,081","26,942"
139,씨에스윈드,"62,300","하락 1,000",-1.58%,"204,249","12,925","26,273"
140,한미사이언스,"38,400",상승 700,+1.86%,"24,990",953,"26,262"
141,DL이앤씨,"66,900","하락 2,400",-3.46%,"663,106","44,640","25,886"
142,세아베스틸지주,"71,200","하락 1,300",-1.79%,"86,966","6,175","25,534"
143,한국앤컴퍼니,"26,750",하락 850,-3.08%,"18,384",495,"25,395"
144,CJ대한통운,"110,700","하락 1,400",-1.25%,"5,078",563,"25,253"
145,HL만도,"51,800",하락 600,-1.15%,"42,963","2,231","24,324"
146,F&F,"61,500","하락 1,300",-2.07%,"13,134",812,"23,559"
147,제일기획,"20,050",보합0,0.00%,"56,719","1,138","23,066"
148,DN오토모티브,"39,350",상승 150,+0.38%,"36,297","1,424","23,024"
149,농심,"375,000","하락 3,500",-0.92%,"2,980","1,115","22,810"
150,GS건설,"26,600",하락 800,-2.92%,"652,380","17,343","22,765"
151,코오롱인더,"81,600","상승 2,800",+3.55%,"114,886","9,246","22,456"
152,현대위아,"82,500",하락 100,-0.12%,"16,196","1,330","22,436"
153,한국카본,"43,100","상승 1,250",+2.99%,"597,666","26,197","22,373"
154,코스맥스,"193,700","하락 2,600",-1.32%,"8,288","1,617","21,984"
155,미스토홀딩스,"40,300","하락 1,900",-4.50%,"34,806","1,405","21,396"
156,아모레퍼시픽홀딩스,"28,050",하락 300,-1.06%,"21,168",594,"21,447"
157,BGF리테일,"123,100",상승 200,+0.16%,"6,183",759,"21,276"
158,현대백화점,"84,100","하락 2,700",-3.11%,"13,944","1,186","19,031"
159,대웅제약,"163,400","상승 4,000",+2.51%,"8,403","1,364","18,932"
160,한국콜마,"78,750",하락 850,-1.07%,"37,574","2,949","18,589"
161,SK아이이테크놀로지,"21,650",하락 450,-2.04%,"29,304",639,"17,707"
162,동원산업,"40,100",상승 100,+0.25%,"7,568",302,"17,703"
163,금호타이어,"6,120",하락 100,-1.61%,"78,187",477,"17,580"
164,녹십자,"150,400","상승 1,400",+0.94%,"8,297","1,245","17,577"
165,GS리테일,"20,800",상승 200,+0.97%,"18,699",388,"17,390"
166,효성티앤씨,"393,000","상승 8,000",+2.08%,"9,998","3,947","17,008"
167,호텔신라,"42,200",하락 500,-1.17%,"43,294","1,823","16,563"
168,파라다이스,"17,410",상승 440,+2.59%,"175,345","3,028","16,127"
169,오리온홀딩스,"24,900",상승 50,+0.20%,"24,254",603,"15,599"
170,오뚜기,"365,500","하락 5,000",-1.35%,"1,107",404,"14,649"
171,대웅,"25,100",상승 800,+3.29%,"31,414",782,"14,594"
172,롯데정밀화학,"51,800","상승 1,200",+2.37%,"14,814",761,"13,364"
173,태광산업,"1,194,000","하락 17,000",-1.40%,496,591,"13,294"
174,DL,"61,000","상승 2,800",+4.81%,"56,464","3,403","12,783"
175,종근당,"91,900","상승 2,100",+2.34%,"11,677","1,069","12,685"
176,한일시멘트,"16,790",하락 220,-1.29%,"17,988",303,"12,348"
177,하이트진로,"16,560",하락 100,-0.60%,"44,638",739,"11,614"
178,영풍,"62,100",하락 700,-1.11%,"11,868",733,"11,226"
179,롯데칠성,"118,950",하락 950,-0.79%,"2,778",330,"11,037"
180,더블유게임즈,"50,200",보합0,0.00%,"3,671",184,"10,629"
181,롯데웰푸드,"114,100",하락 700,-0.61%,"3,078",351,"10,617"
182,지역난방공사,"91,500",상승 300,+0.33%,"10,790",984,"10,595"
183,한샘,"43,400",하락 200,-0.46%,"3,750",162,"10,214"
184,HS효성첨단소재,"222,500","하락 2,000",-0.89%,"1,891",422,"9,968"
185,에스디바이오센서,"8,070",상승 140,+1.77%,"25,231",202,"9,825"
186,SK케미칼,"55,800",하락 400,-0.71%,"7,262",408,"9,653"
187,대한유화,"134,500","하락 1,200",-0.88%,"5,819",784,"8,742"
188,세방전지,"60,800",하락 600,-0.98%,"4,071",247,"8,427"
189,후성,"7,450",상승 110,+1.50%,"109,156",806,"7,991"
190,세아제강지주,"185,300","하락 1,500",-0.80%,"12,637","2,381","7,674"
191,동원시스템즈,"26,350",하락 300,-1.13%,"12,044",316,"7,639"
192,TKG휴켐스,"18,540",하락 120,-0.64%,"12,928",239,"7,579"
193,GKL,"12,000",보합0,0.00%,"41,188",492,"7,423"
194,대상,"20,950",하락 100,-0.48%,"28,147",589,"7,259"
195,녹십자홀딩스,"14,150",상승 20,+0.14%,"22,777",324,"6,654"
196,미원상사,"135,900",하락 700,-0.51%,"1,429",195,"6,455"
197,미원에스씨,"125,800","하락 2,700",-2.10%,"1,857",233,"6,290"
198,율촌화학,"24,050",상승 350,+1.48%,"20,365",483,"5,964"
199,코스모화학,"15,320",상승 130,+0.86%,"58,636",896,"5,884"
200,아세아,"274,000","하락 4,500",-1.62%,358,98,"5,679"
